GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
core,com.backoffice.core.associate.model,Associate,0,58,0,0,0,17,0,10,0,10
core,com.backoffice.core.exception,VoteAssemblyException,5,4,0,0,2,2,1,1,1,1
core,com.backoffice.core.subject.exception,SubjectException,9,0,0,0,4,0,2,0,2,0
core,com.backoffice.core.session.model,Session,42,0,0,0,10,0,9,0,9,0
core,com.backoffice.core.session.v1.usecase,CloseSessionUseCase,38,0,0,0,6,0,3,0,3,0
core,com.backoffice.core.session.v1.usecase,CreateSessionUseCase,40,0,6,0,8,0,5,0,2,0
core,com.backoffice.core.subject.response,SubjectResponseVO,22,0,0,0,1,0,2,0,2,0
core,com.backoffice.core.subject.response,SubjectResponseVO.SubjectResponseVOBuilder,54,0,0,0,1,0,8,0,8,0
core,com.backoffice.core.associate.v1.usecase,UpdateAssociateUseCase,0,70,3,5,0,14,3,4,0,3
core,com.backoffice.core.associate.v1.usecase,CreateAssociateUseCase,0,22,0,0,0,7,0,2,0,2
core,com.backoffice.core.associate.v1.usecase,FindAllAssociateUseCase,0,11,0,0,0,2,0,2,0,2
core,com.backoffice.core.associate.v1.usecase,AssociateUseCaseAbstract,0,81,2,12,0,15,2,8,0,3
core,com.backoffice.core.associate.v1.usecase,FindByIdAssociateUseCase,0,11,0,0,0,2,0,2,0,2
core,com.backoffice.core.vote.model,Vote,55,0,0,0,13,0,11,0,11,0
core,com.backoffice.core.vote.exception,VoteException,9,0,0,0,4,0,2,0,2,0
core,com.backoffice.core.subject.v1.usecase,CreateSubjectUseCase,66,0,12,0,11,0,8,0,2,0
core,com.backoffice.core.subject.v1.usecase,DisableSubjectUseCase,36,0,4,0,7,0,5,0,3,0
core,com.backoffice.core.subject.model,Subject,61,0,2,0,14,0,12,0,11,0
core,com.backoffice.core.vote.v1.usecase,CreateVoteUserCase,80,0,4,0,10,0,5,0,3,0
core,com.backoffice.core.vote.enums,VoteStatusEnum,15,0,0,0,3,0,1,0,1,0
core,com.backoffice.core.associate.vo,AssociateFilterVO.AssociateFilterVOBuilder,18,18,0,0,0,1,3,3,3,3
core,com.backoffice.core.associate.vo,AssociateFilterVO,21,16,0,0,4,1,6,2,6,2
core,com.backoffice.core.associate.exception,AssociateException,5,4,0,0,2,2,1,1,1,1
core,com.backoffice.core.associate.enums,StatusAssociateEnum,28,15,4,0,3,3,3,1,1,1
core,com.backoffice.core.session.exception,SessionException,9,0,0,0,4,0,2,0,2,0
